Electricty Consumption,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,EC_2010,EC_2011,EC_2012,EC_2013,EC_2014,2015,2016
Bosnia and Herzegovina,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.324,3.157,3.554,3.205,3.916,4.373,5.484,5.105,7.3399,7.38858,7.48098,7.8861,8.27506,8.54176,8.47288,8.45802,10.56564,10.17526,11.06712,11.54442,11.90798,11.6241,11.3305,11.44032,11.87088
Botswana,Billion Kwh,0.41199,0.47686,0.53677,0.56362,0.59985,0.64708,0.74034,0.85878,0.816,0.80621,0.87636,0.92347,1.09184,1.11411,1.28092,1.31371,1.39087,1.5571,1.571,1.749,1.71218,2.0224,2.19824,2.36456,2.47878,2.57598,2.663,2.754,2.953,2.829,3.15208,3.15432,3.208,3.34768,3.60428,3.72904,3.63584
Brazil,Billion Kwh,121.7838,124.1572,131.69046,145.44532,161.9187,171.04538,186.48074,190.47542,200.76276,208.72774,212.64456,222.44502,228.10914,239.094122,247.990752,261.50987,277.74329,290.86791,302.90687,310.61948,321.99852,304.48298,318.97716,336.86862,353.29366,367.88328,382.53928,404.16758,419.80854,418.53774,455.64932,471.2818,488.37456,504.34172,517.64588,509.99612,509.07898
Brunei,Billion Kwh,0.424,0.459,0.51,0.653,0.749,0.819,0.867,0.892,0.998,1.038,1.11,1.178,1.237,1.39,1.515,1.779,1.953,2.234,2.324,2.26,2.36142,2.11726,2.19894,2.60754,2.94616,2.89416,2.92412,3.0263,3.05362,3.17728,3.19648,3.23262,3.45132,3.729,3.94676,3.67912,3.77086
Bulgaria,Billion Kwh,33.232,34.575,36.871,38.5,40.173,39.663,39.141,40.877,41.992,42.68,38.786,33.505,29.857,30.235,30.2755,33.218,34.733,30.066,30.012,27.362,27.4082,27.33136,28.27948,28.01322,27.82862,28.7814,30.03836,31.084732,31.71058,30.04748,30.20804,31.72294,31.19088,30.42858,30.86352,31.90892,32.34035
Burkina Faso,Billion Kwh,0.09114,0.10044,0.10695,0.10881,0.10509,0.10695,0.11346,0.12369,0.13299,0.14229,0.16182,0.16926,0.1767,0.19065,0.19158,0.21576,0.24459,0.26226,0.29016,0.32364,0.29574,0.37011,0.4493756,0.48253566,0.53517762,0.58020524,0.62215825,0.6648136,0.68351669,0.76250688,0.88999,0.99534,1.10462,1.221223,1.307516,1.383695,1.5507
Burma (Myanmar),Billion Kwh,1.11,1.022,1.102,1.139,1.246,1.514,1.538,1.571,1.417,1.546,1.734,1.614,1.771,2.055,2.207,2.349,2.407,2.719,2.759,2.919,3.30344,3.03898,3.61858,4.029,3.92994,3.45286,4.15166,4.2362,4.50694,4.83752,6.09332,7.658,7.76904,9.32556,10.86332,12.93174,14.93462
Burundi,Billion Kwh,0.04179,0.04472,0.04072,0.05925,0.07313,0.08571,0.08366,0.10035,0.10872,0.10879,0.11737,0.12716,0.12158,0.1373,0.15088,0.13967,0.14474,0.14753,0.13223,0.12707,0.123,0.14288,0.15404,0.14686,0.14856,0.16121,0.16242,0.18674,0.18109,0.20546,0.233477,0.23571,0.2385,0.25924,0.2574,0.34431,0.38272
Cambodia,Billion Kwh,0.08928,0.09579,0.09951,0.09393,0.08928,0.09858,0.10695,0.11625,0.12555,0.13299,0.14229,0.14694,0.15438,0.15996,0.16647,0.206,0.238,0.25,0.275,0.284,0.38218,0.38652,0.59712,0.64116,0.61662,0.8317,1.02134,1.29056,1.50598,1.73142,2.0146,2.3512,3.22166,3.51242,4.0689,4.96894,5.8573
Cameroon,Billion Kwh,1.325,1.737,2.009,1.952,1.972,2.193,2.044,2.082,2.253,2.364,2.323,2.334,2.318,2.324,2.231,2.203,2.341,2.483,2.505,2.645,2.68272,2.59298,2.49792,2.76264,3.2696,3.25408,4.40374,4.6358,5.01868,5.10124,5.1822,4.70122,4.90916,5.11766,5.36456,6.09114,6.41082
